,precision,recall,f1-score,support
Neutral,0.854463615903976,0.9436619718309859,0.8968503937007875,1207.0
Depression,0.9290085679314566,0.8835855646100116,0.905727923627685,859.0
Suicidal,0.8865671641791045,0.8181818181818182,0.8510028653295129,1089.0
accuracy,0.8839936608557845,0.8839936608557845,0.8839936608557845,0.8839936608557845
macro avg,0.8900131160048458,0.8818097848742719,0.8845270608859951,3155.0
weighted avg,0.8858407562726672,0.8839936608557845,0.8834424189974235,3155.0
