Model,Accuracy,Precision,Recall,F1-Score
Linear SVM,0.8839936608557845,0.8843428085285483,0.8839936608557845,0.8838024095325405
Logistic Regression,0.8839936608557845,0.8858407562726672,0.8839936608557845,0.8834424189974235
Random Forest,0.8621236133122029,0.8636309456457556,0.8621236133122029,0.8619572182620914
Multinomial Naïve Bayes,0.8161648177496038,0.8502594100213695,0.8161648177496038,0.8122905396335028
